1;AFGANISTÁN
2;AMERICAN SAMOA
3;ALEMANIA
4;ALBANIA
5;ANDORRA
6;ANGOLA
7;ANGUILA
8;ANTIGUA AND BARBUDA
9;ANTILLAS HOLANDESAS
10;ANTÁRTIDA
11;ARABIA SAUDITA
12;ARGELIA
13;ARGENTINA
14;ARMENIA
15;ARUBA
16;AUSTRALIA
17;AUSTRIA
18;AZERBAIYÁN
19;BAHAMAS
20;BAHRÉIN
21;BANGLADESH
22;BARBADOS
23;BELICE
24;BENÍN
25;BERMUDA
26;BIELORRUSIA
27;BOLIVIA
28;BOSNIA Y HERZEGOVINA
29;BOTSUANA
30;BOUVET ISLAND
31;BRASIL
32;BRITISH INDIA OCEAN TERRITORY
33;BRUNEI DARUSSALAM
34;BULGARIA
35;BURKINA FASO
36;BURUNDI
37;BUTÁN
38;BÉLGICA
39;CABO VERDA
40;CAMBOYA
41;CAMERÚN
42;CANADA
43;CHAD
44;CHILE
45;CHINA
46;CHIPRE
47;COLOMBIA
48;COMORES
49;CONGO
50;COREA DEL NORTE
51;COREA DEL SUR
52;COSTA RICA
53;COTE D IVOIRE
54;CROACIA
55;CUBA
56;DINAMARCA
57;DJIBOUTI
58;DOMINICA
59;EAST TIMOR
60;ECUADOR
61;EGIPTO
62;EL SALVADOR
63;EL VATICANO
64;EMIRATOS ARABES UNIDOS
65;ERITREA
66;ESLOVAQUIA
67;ESLOVENIA
68;ESPAÑA
69;ESTADOS UNIDOS
70;ESTONIA
71;ETIOPIA
72;FIJI
73;FILIPINAS
74;FINLANDIA
75;FRANCIA
76;FRENCH GUIANA
77;FRENCH POLYNESIA
78;FRENCH SOUTHERN TERRITORIES
79;GABON
80;GAMBIA
81;GEORGIA
82;GHANA
83;GIBRALTAR
84;GRANADA
85;GRECIA
86;GROENLANDIA
87;GUADALUPE
88;GUAM
89;GUATEMALA
90;GUINEA
91;GUINEA ECUATORIAL
92;GUINEA BISSAU
93;GUYANA
94;HAITÍ
95;HEARD ISLAND AND MCDONALD ISLA
96;HOLANDA
97;HONDURAS
98;HONG KONG
99;HUNGRÍA
100;INDIA
101;INDONESIA
102;IRAQ
103;IRLANDA
104;ISLAS COCOS
105;ISLA CHRISTMAS
106;ISLANDIA
107;ISLAS CAIMÁN
108;ISLAS COOK
109;ISLAS FEROE
110;ISLAS MALVINAS
111;ISLAS MARSHALL
112;ISLAS MAURICIO
113;ISLAS SALOMÓN
114;ISLAS SÁNDWICH
115;ISLAS TURKS Y CAICOS
116;ISLAS WALLIS Y FUTUNA
117;ISRAEL
118;ITALIA
119;JAMAICA
120;JAPÓN
121;JORDANIA
122;KAZAKHSTAN
123;KENIA
124;KIRIBATI
125;KUWAIT
126;KYRGYZSTAN
127;LAOS
128;LATVIA
129;LESOTO
130;LIBERIA
131;LIBIA
132;LIECHTENSTEIN
133;LITUANIA
134;LUXEMBURGO
135;LÍBANO
136;MACAO
137;MACEDONIA
138;MADAGASCAR
139;MALASIA
140;MALAUI
141;MALDIVAS
142;MALTA
143;MALI
144;MARRUECOS
145;MARTINIQUE
146;MAURITANIA
147;MAYOTTE
148;MICRONESIA
149;MOLDAVIA
150;MONGOLIA
151;MONTSERRAT
152;MOZAMBIQUE
153;MYANMAR
154;MÉXICO
155;MÓNACO
156;NAMIBIA
157;NAURU
158;NEPAL
159;NICARAGUA
160;NIGERIA
161;NIUE
162;NORFOLK ISLAND
163;NORTHERN MARIANA ISLANDS
164;NORUEGA
165;NUEVA CALEDONIA
166;NUEVA ZELANDANIGER
167;OMÁN
168;PAKISTÁN
169;PALAU
170;PALESTINIAN TERRITORY
171;PANAMÁ
172;PAPUA NUEVA GUINEA
173;PARAGUAY
174;PERÚ
175;PITCAIRN
176;POLONIA
177;PORTUGAL
178;PUERTO RICO
179;QATAR
180;REINO UNIDO
181;REPUBLICA CENTROAFRICANA
182;REPUBLICA CHECA
183;REPUBLICA DEMOCRÁTICA DEL CONG
184;REPUBLICA DOMINICANA
185;REPUBLICA ISLÁMICA DE IRÁN
186;RUANDA
187;RUMANIA
188;RUSIAN
189;SAINT KITTS AND NEVIS
190;SAINT PIERRE Y MIQUELON
191;SAMOA
192;SAN MARINO
193;SAN VICENTE Y LAS GRANADINAS
194;SANTA ELENA
195;SANTA LUCIA
196;SAO TOME AND PRÍNCIPE
197;SENEGAL
198;SERBIA Y MONTENEGRO
199;SEYCHELLES
200;SIERRA LEONA
201;SINGAPUR
202;SIRIA
203;SOMALIA
204;SRI LANKA
205;SUAZILANDIA
206;SUDÁFRICA
207;SUDAN
208;SUECIA
209;SUIZA
210;SURINAM
211;SALVAR AND JAN MAYEN
212;TAILANDIA
213;TAIWÁN
214;TAJIKISTAN
215;TANZANIA
216;TOGO
217;TONGA
218;TOQUELAU
219;TRINIDAD Y TOBAGO
220;TURKMENISTAN
221;TURQUÍA
222;TUVALU
223;TÚNEZ
224;UCRANIA
225;UGANDA
226;UNITED STATES MINOR OUTLYING I
227;URUGUAY
228;UZBEKISTAN
229;VANUATU
230;VENEZUELA
231;VIETNAM
232;VIRGIN ISLANDS BRITISH
233;VIRGIN ISLANDS U.S.
234;WESTERN SAHARA
235;YEMEN
236;ZAIRE
237;ZAMBIA
238;ZIMBABUE
239;OTRO PAÍS
